umber	n. 赭土, 焦茶色 adj. 赭色的
adumbrate	n. 预示,勾画 v. (对将来事件)预示 vt. 画轮廓, 预示
penumbra	n. 半阴影，边缘部分
umbrage	n. 阴影，不快, 怀疑, 怨恨
divest	v. 剥除, 脱去,剥夺，摆脱
investiture	n. 任职仪式, 授权仪式，装饰物，覆盖物
transvestite	n. 易装癖者, 异性模仿欲
travesty	n. 滑稽模仿, 歪曲，漫画 vt. 使...滑稽化，曲解
apotheosis	n. 尊为神,封神,神化
atheistic	adj. 无神论的,无神论者的
pantheon	n. 万神殿, 众神，伟人
theocracy	n. 神权政体, 神政, 神治国
icon	n. 肖像, 偶像, 象征, 图符 [计算机] 图标,图符
iconic	adj. 图像的，肖像的，图标的
iconoclast	n. 毁坏宗教神像的人, 提倡打破旧习的人
iconography	n. 图解, 图解书, 图标研究，肖像学
urbane	adj. 温文尔雅的, 懂礼的
exurban	adj.城市远郊的
interurban	adj. 都市城镇间的
urbanization	n. 都市化, 城市化
acculturation	n. 文化之传授，文化移入
cross-cultural	adj. 跨文化的
horticulture	n. 园艺学
subculture	n. 亚文化群
demographic	人口统计学的 adj. 人口的,人口统计的
endemic	adj. 风土的, 地方的 n. 地方病, 风土病
demagogue	n. 煽动者, 群众煽动者 v. (以煽动性的方式)对待，煽动
demotic	adj. 平民的, 民众的, 通俗的
populist	n. 平民主义者, 平民论者
populace	n. 平民, 大众
populous	adj. 人口多的, 人口稠密的
vox populi	n.舆论,人民的心声
aquiline	adj. 鹰的, 似鹰的, 弯曲的
asinine	adj. 驴的, 像驴的, 愚蠢的
bovine	adj. (似)牛的, 迟钝的
canine	adj. 犬的, 似犬的, 犬科的 n. 犬，犬齿，犬科动物
feline	adj. 猫科的 n. 猫, 猫科动物
leonine	adj. 狮子的
porcine	adj. 猪的, 似猪的
vulpine	adj. 狐狸的, 狡猾的
